team_name,org_name,age_group,level,division
Austin Red,Austin,10u,A,10u / 10u A / West
Austin White,Austin,10u,A,10u / 10u A / West
Austin,Austin,11u,A,11u / 11u A / West
Austin,Austin,13u,A,13u / 13u A / West
Austin Red,Austin,9u,A,9u / 9u A / West
Austin Stars,Austin,9u,AA,9u / 9u AA / West
Austin White,Austin,9u,A,9u / 9u A / West
Blooming Prairie,Blooming Prairie,10u,A,10u / 10u A / West
Blooming Prairie,Blooming Prairie,11u,A,11u / 11u A / West
Blooming Prairie,Blooming Prairie,12u,A,12u / 12u A / West
Blooming Prairie,Blooming Prairie,14/15u,A,14/15u / 14/15u A / West
Blooming Prairie,Blooming Prairie,9u,A,9u / 9u A / West
Byron Bears,Byron Bears,10u,A,10u / 10u A / West
Byron Bears,Byron Bears,12u,A,12u / 12u A / West
Byron Bears,Byron Bears,14/15u,A,14/15u / 14/15u A / West
Byron Bears Gold,Byron Bears,8u,A,8u / 8u A / West
Byron Bears Gray,Byron Bears,8u,A,8u / 8u A / West
Byron Bears,Byron Bears,9u,A,9u / 9u A / West
Byron Bears,Byron Bears,9u,AA,9u / 9u AA / West
Cannon Falls Bombers,Cannon Falls Bombers,10u,A,10u / 10u A / East
Cannon Falls Bombers,Cannon Falls Bombers,12u,A,12u / 12u A / East
Chatfield Black,Chatfield,10u,AA,10u / 10u AA / West
Chatfield Maroon,Chatfield,10u,AA,10u / 10u AA / West
Chatfield,Chatfield,11u,AA,11u / 11u AA / West
Chatfield,Chatfield,12u,AA,12u / 12u AA / West
Chatfield,Chatfield,9u,AA,9u / 9u AA / West
Dover-Eyota,Dover-Eyota,10u,AA,10u / 10u AA / West
Dover-Eyota,Dover-Eyota,12u,AA,12u / 12u AA / West
Dover-Eyota,Dover-Eyota,14/15u,A,14/15u / 14/15u A / West
Goodhue,Goodhue,10u,A,10u / 10u A / East
Goodhue,Goodhue,11u,AA,11u / 11u AA / East
Goodhue,Goodhue,12u,A,12u / 12u A / East
Goodhue,Goodhue,13u,A,13u / 13u A / East
Goodhue,Goodhue,14/15u,A,14/15u / 14/15u A / East
Goodhue,Goodhue,14/15u,AA,14/15u / 14/15u AA / East
Hayfield,Hayfield,10u,A,10u / 10u A / West
Hayfield,Hayfield,11u,A,11u / 11u A / West
Hayfield,Hayfield,12u,AA,12u / 12u AA / West
Hayfield,Hayfield,14/15u,AA,14/15u / 14/15u AA / West
Hayfield,Hayfield,8u,A,8u / 8u A / West
